intersection_id,tollgate_id,starting_time,travel_time
B,3,7/19/16 0:14,70.85
B,3,7/19/16 0:35,148.79
B,1,7/19/16 0:37,79.76
A,2,7/19/16 0:37,58.05
B,1,7/19/16 0:56,137.98
C,3,7/19/16 0:56,113.54
B,1,7/19/16 1:26,176.7
A,2,7/19/16 1:36,74.47
A,3,7/19/16 1:36,94.57
C,1,7/19/16 1:36,214.87
A,2,7/19/16 1:38,39.27
B,3,7/19/16 1:40,86.07
A,2,7/19/16 1:42,35.38
C,1,7/19/16 1:44,189.77
C,1,7/19/16 1:46,131.5
A,2,7/19/16 1:48,130.43
B,3,7/19/16 1:48,101.37
A,2,7/19/16 1:52,67.41
B,3,7/19/16 2:10,67.81
A,2,7/19/16 2:20,42.64
A,3,7/19/16 2:36,72.12
A,3,7/19/16 2:38,83.1
B,3,7/19/16 2:42,142.32
A,2,7/19/16 2:42,29.15
A,2,7/19/16 2:42,40.12
B,3,7/19/16 2:44,192.77
A,2,7/19/16 2:58,51.25
A,3,7/19/16 3:12,93.09
A,2,7/19/16 3:27,44.29
A,2,7/19/16 3:36,39.55
A,2,7/19/16 3:42,23.03
B,3,7/19/16 3:43,82.65
B,3,7/19/16 3:43,101.53
B,3,7/19/16 3:44,88.76
A,2,7/19/16 3:44,39.54
B,3,7/19/16 3:53,121.02
A,2,7/19/16 3:56,55.72
B,3,7/19/16 4:05,91.01
A,2,7/19/16 4:06,50.79
A,2,7/19/16 4:06,50.79
B,3,7/19/16 4:07,102.33
A,2,7/19/16 4:12,42.81
B,3,7/19/16 4:22,53.15
A,2,7/19/16 4:26,86.42
A,2,7/19/16 4:27,72.19
B,1,7/19/16 4:29,94.06
A,2,7/19/16 4:30,57.58
A,2,7/19/16 4:30,64.14
A,2,7/19/16 4:38,48.97
A,2,7/19/16 4:38,43.34
B,3,7/19/16 4:41,62.09
C,1,7/19/16 4:41,187.3
A,2,7/19/16 4:44,45.59
A,3,7/19/16 4:44,108.78
A,3,7/19/16 4:48,96.05
A,3,7/19/16 4:54,70
A,2,7/19/16 4:54,46.64
B,3,7/19/16 4:55,48.4
B,3,7/19/16 5:02,209.66
A,2,7/19/16 5:06,36.61
A,2,7/19/16 5:08,64.88
A,2,7/19/16 5:09,53.12
A,2,7/19/16 5:10,46.73
A,2,7/19/16 5:17,46.44
A,2,7/19/16 5:22,40.63
B,1,7/19/16 5:27,66.98
A,2,7/19/16 5:29,32.47
A,3,7/19/16 5:30,168.36
A,2,7/19/16 5:32,55.35
A,2,7/19/16 5:37,51
A,2,7/19/16 5:38,61.06
A,2,7/19/16 5:38,52.3
A,2,7/19/16 5:39,91.07
A,2,7/19/16 5:42,59.29
A,2,7/19/16 5:43,83.67
A,2,7/19/16 5:44,66.82
A,2,7/19/16 5:54,66.92
B,1,7/19/16 5:55,87.83
A,2,7/19/16 5:56,46.22
A,2,7/19/16 5:57,37.74
A,2,7/19/16 5:59,45.93
A,3,7/19/16 6:08,86.23
C,1,7/19/16 6:11,160.38
A,2,7/19/16 6:12,59.57
B,1,7/19/16 6:12,170.09
A,2,7/19/16 6:13,36.08
B,3,7/19/16 6:14,145.94
A,2,7/19/16 6:16,59.08
A,2,7/19/16 6:16,54.11
A,3,7/19/16 6:18,163.09
A,2,7/19/16 6:19,22.94
A,3,7/19/16 6:25,79.84
C,3,7/19/16 6:25,161.74
A,2,7/19/16 6:27,26.51
A,2,7/19/16 6:27,47.98
A,3,7/19/16 6:30,91.64
A,2,7/19/16 6:30,61.03
A,2,7/19/16 6:32,61.8
A,3,7/19/16 6:36,99.34
B,3,7/19/16 6:37,127.35
A,2,7/19/16 6:38,45.62
A,3,7/19/16 6:38,70.61
A,3,7/19/16 6:38,107.8
A,2,7/19/16 6:46,53.29
A,2,7/19/16 6:46,37.97
A,2,7/19/16 6:47,81.67
A,2,7/19/16 6:47,102.16
A,3,7/19/16 6:48,93.29
A,3,7/19/16 6:49,310.68
B,3,7/19/16 6:50,97.2
A,3,7/19/16 6:50,134.36
A,2,7/19/16 6:51,46.31
A,3,7/19/16 6:52,180.31
A,2,7/19/16 6:53,120.12
A,2,7/19/16 6:53,43.83
C,1,7/19/16 6:54,134.56
A,2,7/19/16 6:57,47.79
A,3,7/19/16 6:59,181.44
C,3,7/19/16 6:59,223.81
A,2,7/19/16 7:00,82.57
A,3,7/19/16 7:01,106.1
A,2,7/19/16 7:02,72.57
A,2,7/19/16 7:02,40.83
A,3,7/19/16 7:03,96.69
B,1,7/19/16 7:03,65.41
A,2,7/19/16 7:05,56.64
A,2,7/19/16 7:08,58.31
B,3,7/19/16 7:10,58.04
A,2,7/19/16 7:11,125.29
A,2,7/19/16 7:11,67.5
B,3,7/19/16 7:12,47.45
B,3,7/19/16 7:13,149.35
B,3,7/19/16 7:13,196.21
A,2,7/19/16 7:14,99.68
A,2,7/19/16 7:15,24.56
A,2,7/19/16 7:15,18.86
B,3,7/19/16 7:16,141.09
C,3,7/19/16 7:17,135.92
A,2,7/19/16 7:20,94.31
A,2,7/19/16 7:20,109.57
A,3,7/19/16 7:20,133.04
B,3,7/19/16 7:22,113.08
A,2,7/19/16 7:23,129.47
B,3,7/19/16 7:24,52.18
A,3,7/19/16 7:25,113.99
A,2,7/19/16 7:26,97.3
A,3,7/19/16 7:26,100.47
A,2,7/19/16 7:26,75.25
A,2,7/19/16 7:27,103.25
A,2,7/19/16 7:30,34.32
A,3,7/19/16 7:30,95.34
A,3,7/19/16 7:30,178.6
A,2,7/19/16 7:31,68.95
A,2,7/19/16 7:33,89.5
A,2,7/19/16 7:37,54.84
C,3,7/19/16 7:39,236.12
A,3,7/19/16 7:40,94.71
A,2,7/19/16 7:42,46.75
A,2,7/19/16 7:44,61.98
A,2,7/19/16 7:45,50.55
B,3,7/19/16 7:45,110.5
A,3,7/19/16 7:46,104.83
A,2,7/19/16 7:48,60.25
C,1,7/19/16 7:48,180.11
A,2,7/19/16 7:50,43.88
A,2,7/19/16 7:51,69.95
A,3,7/19/16 7:52,336.77
A,2,7/19/16 7:53,66.45
A,2,7/19/16 7:53,57.7
A,2,7/19/16 7:55,73.21
A,3,7/19/16 7:56,85.67
A,3,7/19/16 8:00,121
A,3,7/19/16 8:02,149.62
A,2,7/19/16 8:02,91.56
A,2,7/19/16 8:02,109.82
A,2,7/19/16 8:03,161.11
A,2,7/19/16 8:04,81.05
C,1,7/19/16 8:04,197.74
A,2,7/19/16 8:05,47.81
A,2,7/19/16 8:05,47.47
C,1,7/19/16 8:05,127.68
C,1,7/19/16 8:05,128.74
A,3,7/19/16 8:05,191.43
A,2,7/19/16 8:06,51.85
A,2,7/19/16 8:07,65.67
B,3,7/19/16 8:07,135.18
B,3,7/19/16 8:08,112.51
A,2,7/19/16 8:08,37.99
A,2,7/19/16 8:09,119.35
A,2,7/19/16 8:10,93.41
C,3,7/19/16 8:12,120.73
B,3,7/19/16 8:13,129.59
A,3,7/19/16 8:15,87.45
A,2,7/19/16 8:15,98.23
A,2,7/19/16 8:16,72.91
A,2,7/19/16 8:18,64.21
A,2,7/19/16 8:20,51.21
A,2,7/19/16 8:21,122.14
B,3,7/19/16 8:21,86.29
A,3,7/19/16 8:22,206.59
A,2,7/19/16 8:22,85.43
B,3,7/19/16 8:22,153.94
A,2,7/19/16 8:24,78.74
A,2,7/19/16 8:25,113.77
A,3,7/19/16 8:25,102.42
A,3,7/19/16 8:25,96.47
A,3,7/19/16 8:26,148.08
C,1,7/19/16 8:26,129.1
A,2,7/19/16 8:26,107.42
C,3,7/19/16 8:26,143.37
A,2,7/19/16 8:27,60
B,1,7/19/16 8:28,128.75
A,2,7/19/16 8:28,102.19
B,3,7/19/16 8:28,166.92
A,2,7/19/16 8:30,77.9
B,3,7/19/16 8:30,154.27
B,3,7/19/16 8:31,145.25
A,2,7/19/16 8:32,78.48
A,3,7/19/16 8:33,180.93
A,2,7/19/16 8:34,45.24
A,3,7/19/16 8:35,263.27
A,2,7/19/16 8:35,51.56
A,2,7/19/16 8:36,75.6
A,2,7/19/16 8:36,73.23
A,3,7/19/16 8:38,160.62
A,2,7/19/16 8:40,57.63
A,2,7/19/16 8:40,57.52
B,3,7/19/16 8:42,91.38
A,3,7/19/16 8:42,177.14
A,2,7/19/16 8:43,116.67
A,2,7/19/16 8:45,40.04
A,2,7/19/16 8:45,39.62
B,1,7/19/16 8:45,59.25
A,3,7/19/16 8:46,111.83
A,2,7/19/16 8:48,98.17
B,3,7/19/16 8:48,113.66
B,1,7/19/16 8:49,73.48
